scenario,region,variables,unit,2020,2025,2030,2035,2040,2045,2050
Business as usual - remind,MEA,Efficiency|Hydrogen|Coal,-,0.55,0.55,0.55,0.55,0.55,0.55,0.55
Ambitious - remind,MEA,Efficiency|Hydrogen|Coal,-,0.55,0.55,0.55,0.55,0.55,0.55,0.55
Very Ambitious - remind,MEA,Efficiency|Hydrogen|Coal,-,0.55,0.55,0.55,0.55,0.55,0.55,0.55
Business as usual - remind,REF,Efficiency|Hydrogen|Coal,-,0.55,0.55,0.55,0.55,0.55,0.55,0.55
Ambitious - remind,REF,Efficiency|Hydrogen|Coal,-,0.55,0.55,0.55,0.55,0.55,0.55,0.55
Very Ambitious - remind,REF,Efficiency|Hydrogen|Coal,-,0.55,0.55,0.55,0.55,0.55,0.55,0.55
Business as usual - remind,USA,Efficiency|Hydrogen|Coal,-,0.55,0.55,0.55,0.55,0.55,0.55,0.55
Ambitious - remind,USA,Efficiency|Hydrogen|Coal,-,0.55,0.55,0.55,0.55,0.55,0.55,0.55
Very Ambitious - remind,USA,Efficiency|Hydrogen|Coal,-,0.55,0.55,0.55,0.55,0.55,0.55,0.55
Business as usual - remind,EUR,Efficiency|Hydrogen|Coal,-,0.55,0.55,0.55,0.55,0.55,0.55,0.55
Ambitious - remind,EUR,Efficiency|Hydrogen|Coal,-,0.55,0.55,0.55,0.55,0.55,0.55,0.55
Very Ambitious - remind,EUR,Efficiency|Hydrogen|Coal,-,0.55,0.55,0.55,0.55,0.55,0.55,0.55
Business as usual - remind,CHA,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Ambitious - remind,CHA,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Very Ambitious - remind,CHA,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Business as usual - remind,LAM,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Ambitious - remind,LAM,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Very Ambitious - remind,LAM,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Business as usual - remind,CAZ,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Ambitious - remind,CAZ,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Very Ambitious - remind,CAZ,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Business as usual - remind,NEU,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Ambitious - remind,NEU,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Very Ambitious - remind,NEU,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
